num	title	repo	repo_full	url	status	target	source_pass	notes
27	End-to-end encrypted traffic classification with one-dimensional convolution neural networks	cnntraffic	echowei/cnntraffic	https://github.com/echowei/cnntraffic	failed	source\cnntraffic	pdf_url_filtered	
30	Co-teaching: Robust Training of Deep Neural Networks with Extremely Noisy Labels	Co-teaching	bhanML/Co-teaching	https://github.com/bhanML/Co-teaching	downloaded	source\Co-teaching	pdf_url_high_conf	
35	MaMPF: Encrypted Traffic Classification Based on Multi-Attribute Markov Probability Fingerprints	WSPTTH/MaMPF	WSPTTH/MaMPF	https://github.com/WSPTTH/MaMPF	downloaded	source\MaMPF	github_api_readme_second_round	high_title_overlap_with_code_language;near_exact_title_overlap
43	FS-Net: A Flow Sequence Network For Encrypted Traffic Classification	Akrusher/Fs-net	Akrusher/Fs-net	https://github.com/Akrusher/Fs-net	downloaded	source\Fs-net	github_api_readme_second_round	near_exact_title_overlap
43	FS-Net: A Flow Sequence Network For Encrypted Traffic Classification	WSPTTH/FS-Net	WSPTTH/FS-Net	https://github.com/WSPTTH/FS-Net	downloaded	source\WSPTTH_FS-Net	github_api_readme_second_round	high_title_overlap_with_code_language;near_exact_title_overlap
58	FlowPrint: Semi-Supervised Mobile-App Fingerprinting on Encrypted Network Traffic	FlowPrint	Thijsvanede/FlowPrint	https://github.com/Thijsvanede/FlowPrint	downloaded	source\FlowPrint	pdf_url_high_conf	
73	CADE: Detecting and Explaining Concept Drift Samples for Security Applications	CADE	whyisyoung/CADE	https://github.com/whyisyoung/CADE	downloaded	source\CADE	pdf_url_high_conf	
75	CENTIME: A Direct Comprehensive Traffic Features Extraction for Encrypted Traffic Classification	Traffic-Classification	wmn7/Traffic-Classification	https://github.com/wmn7/Traffic-Classification	downloaded	source\Traffic-Classification	pdf_url_high_conf	
79	Distributed Deep Convolutional Neural Networks for the Internet-of-Things	distributedCNNs	simdis/distributedCNNs	https://github.com/simdis/distributedCNNs	downloaded	source\distributedCNNs	pdf_url_filtered	
81	FARE: Enabling Fine-grained Attack Categorization under Low-quality Labeled Data	FARE	junjieliang672/FARE	https://github.com/junjieliang672/FARE	downloaded	source\FARE	pdf_url_filtered;pdf_url_high_conf	
84	Generative Adversarial Transformers	gansformer	dorarad/gansformer	https://github.com/dorarad/gansformer	downloaded	source\gansformer	pdf_url_filtered	
88	Open-CyKG: An Open Cyber Threat Intelligence Knowledge Graph	IS5882/Open-CyKG	IS5882/Open-CyKG	https://github.com/IS5882/Open-CyKG	downloaded	source\Open-CyKG	github_api_readme_second_round	doi_or_title_in_readme;near_exact_title_overlap
102	E-GraphSAGE: A Graph Neural Network based Intrusion Detection System for IoT	George730/E-ResGAT	George730/E-ResGAT	https://github.com/George730/E-ResGAT	downloaded	source\E-ResGAT	github_api_readme_second_round	high_title_overlap_with_code_language;near_exact_title_overlap
102	E-GraphSAGE: A Graph Neural Network based Intrusion Detection System for IoT	waimorris/E-GraphSAGE	waimorris/E-GraphSAGE	https://github.com/waimorris/E-GraphSAGE	downloaded	source\E-GraphSAGE	github_api_readme_second_round	high_title_overlap_with_code_language;near_exact_title_overlap
105	ET-BERT: A Contextualized Datagram Representation with Pre-training Transformers for Encrypted Traffic Classification	ET-BERT	linwhitehat/ET-BERT	https://github.com/linwhitehat/ET-BERT	downloaded	source\ET-BERT	pdf_url_high_conf	
106	EULER: Detecting Network Lateral Movement via Scalable Temporal Link Prediction	Euler	iHeartGraph/Euler	https://github.com/iHeartGraph/Euler	downloaded	source\Euler	pdf_url_high_conf	
109	KRYSTAL: Knowledge graph-based framework for tactical attack discovery in audit data	Krystal	sepses/Krystal	https://github.com/sepses/Krystal	downloaded	source\Krystal	pdf_url_high_conf	
120	An intelligent network monitoring approach for online classification of Darknet traffic	adaptive-monitoring	romoreira/adaptive-monitoring	https://github.com/romoreira/adaptive-monitoring	downloaded	source\adaptive-monitoring	pdf_url_filtered	
