num	title	query	overlap	readme_overlap	score	repo	url	description	strict_reasons	readme_reasons	title_hits	readme_url
35	MaMPF: Encrypted Traffic Classification Based on Multi-Attribute Markov Probability Fingerprints	MaMPF	1.00	0.00	113	WSPTTH/MaMPF	https://github.com/WSPTTH/MaMPF	Code for “MaMPF: Encrypted Traffic Classification Based on Multi-Attribute Markov Probability Fingerprints”	title_overlap_1.00_method_match		mampf,attribute,markov,probability,fingerprints	
43	FS-Net: A Flow Sequence Network For Encrypted Traffic Classification	FS-Net	1.00	0.00	113	WSPTTH/FS-Net	https://github.com/WSPTTH/FS-Net	Code for “FS-Net: A Flow Sequence Network For Encrypted Traffic Classification”	title_overlap_1.00_method_match		flow,sequence	
43	FS-Net: A Flow Sequence Network For Encrypted Traffic Classification	FS-Net	1.00	0.00	108	Akrusher/Fs-net	https://github.com/Akrusher/Fs-net	FS-Net: A Flow Sequence Network For Encrypted Traffic Classification	title_overlap_1.00_method_match		flow,sequence	
44	MIRAGE: Mobile-app Traffic Capture and Ground-truth Creation	MIRAGE	0.00	0.50	100	gzxiong/MIRAGE	https://github.com/gzxiong/MIRAGE	Official repository of the MIRAGE benchmark		partial_readme_title_overlap_0.50	mirage,ground,truth	https://raw.githubusercontent.com/gzxiong/MIRAGE/HEAD/README.md
74	CBD: A Deep-Learning-Based Scheme for Encrypted Traffic Classification with a General Pre-Training Method	CBD	0.00	0.67	100	zaixizhang/CBD	https://github.com/zaixizhang/CBD	Official Inplementation of CVPR23 paper "Backdoor Defense via Deconfounded Representation Learning"		readme_title_overlap_0.67	scheme,training	https://raw.githubusercontent.com/zaixizhang/CBD/HEAD/README.md
88	Open-CyKG: An Open Cyber Threat Intelligence Knowledge Graph	Open-CyKG	0.00	1.00	100	IS5882/Open-CyKG	https://github.com/IS5882/Open-CyKG			doi_in_readme;title_string_in_readme;readme_title_overlap_1.00	open,cykg,open,cyber,threat,intelligence,knowledge	https://raw.githubusercontent.com/IS5882/Open-CyKG/HEAD/README.md
90	SPPNet: An Approach For Real-Time Encrypted Traffic Classification Using Deep Learning	SPPNet	0.00	0.50	100	mmmmmmiracle/SPPNet	https://github.com/mmmmmmiracle/SPPNet	PyTorch for classification《 Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition》		partial_readme_title_overlap_0.50	sppnet	https://raw.githubusercontent.com/mmmmmmiracle/SPPNet/HEAD/README.md
102	E-GraphSAGE: A Graph Neural Network based Intrusion Detection System for IoT	E-GraphSAGE	1.00	0.00	113	waimorris/E-GraphSAGE	https://github.com/waimorris/E-GraphSAGE	A PyTorch implementation of of E-GraphSAGE.	title_overlap_1.00_method_match		graphsage	
102	E-GraphSAGE: A Graph Neural Network based Intrusion Detection System for IoT	E-GraphSAGE	1.00	0.00	97	George730/E-ResGAT	https://github.com/George730/E-ResGAT	The pytorch implementation of E-GraphSAGE and E-ResGAT, two solutions for intrusion detection.	title_overlap_1.00_method_match		graphsage	
124	CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment	CICIoT2023	0.00	1.00	100	Jaquelinedops/CICIoT2023	https://github.com/Jaquelinedops/CICIoT2023	Machine Learning studying on CICIoT2023		title_string_in_readme;readme_title_overlap_1.00	ciciot2023,real,dataset,benchmark,large,scale,attacks,environment	https://raw.githubusercontent.com/Jaquelinedops/CICIoT2023/HEAD/README.md
124	CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment	CICIoT2023	0.00	1.00	100	plumpmonkey/CICIoT2023	https://github.com/plumpmonkey/CICIoT2023			title_string_in_readme;readme_title_overlap_1.00	ciciot2023,real,dataset,benchmark,large,scale,attacks,environment	https://raw.githubusercontent.com/plumpmonkey/CICIoT2023/HEAD/README.md
124	CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment	CICIoT2023	0.88	0.00	108	moriwam01/CICIoT2023	https://github.com/moriwam01/CICIoT2023	CICIoT2023 is a comprehensive real-time dataset and benchmark designed to assess large-scale attacks within the IoT ecosystem.	title_overlap_0.88_method_match		ciciot2023,real,dataset,benchmark,large,scale,attacks	
124	CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment	CICIoT2023	0.88	0.00	96	jorvredeveld/CICIoT2023-2	https://github.com/jorvredeveld/CICIoT2023-2	CICIoT2023 is a comprehensive real-time dataset and benchmark designed to assess large-scale attacks within the IoT ecosystem.	title_overlap_0.88_method_match		ciciot2023,real,dataset,benchmark,large,scale,attacks	
136	FastTraffic: A lightweight method for encrypted traffic fast classification	FastTraffic	1.00	0.00	108	JieCaoSec/FastTraffic	https://github.com/JieCaoSec/FastTraffic	The repository of FastTraffic, A lightweight method for encrypted traffic fast classification.	title_overlap_1.00_method_match		fasttraffic,lightweight,fast	
136	FastTraffic: A lightweight method for encrypted traffic fast classification	FastTraffic	0.00	0.67	108	MaHaoxuantb/FastTraffic	https://github.com/MaHaoxuantb/FastTraffic	The iOS app for FastTraffic (consumers side)		readme_title_overlap_0.67	fasttraffic,fast	https://raw.githubusercontent.com/MaHaoxuantb/FastTraffic/HEAD/README.md
136	FastTraffic: A lightweight method for encrypted traffic fast classification	FastTraffic	0.00	0.67	108	NewBrandSTONE/FastTraffic	https://github.com/NewBrandSTONE/FastTraffic	基础框架		readme_title_overlap_0.67	fasttraffic,fast	https://raw.githubusercontent.com/NewBrandSTONE/FastTraffic/HEAD/README.md
