num	title	query	overlap	repo	url	description	final_reasons	readme_url
35	MaMPF: Encrypted Traffic Classification Based on Multi-Attribute Markov Probability Fingerprints	MaMPF	1.00	WSPTTH/MaMPF	https://github.com/WSPTTH/MaMPF	Code for “MaMPF: Encrypted Traffic Classification Based on Multi-Attribute Markov Probability Fingerprints”	high_title_overlap_with_code_language;near_exact_title_overlap	
43	FS-Net: A Flow Sequence Network For Encrypted Traffic Classification	FS-Net	1.00	Akrusher/Fs-net	https://github.com/Akrusher/Fs-net	FS-Net: A Flow Sequence Network For Encrypted Traffic Classification	near_exact_title_overlap	
43	FS-Net: A Flow Sequence Network For Encrypted Traffic Classification	FS-Net	1.00	WSPTTH/FS-Net	https://github.com/WSPTTH/FS-Net	Code for “FS-Net: A Flow Sequence Network For Encrypted Traffic Classification”	high_title_overlap_with_code_language;near_exact_title_overlap	
88	Open-CyKG: An Open Cyber Threat Intelligence Knowledge Graph	Open-CyKG	1.00	IS5882/Open-CyKG	https://github.com/IS5882/Open-CyKG		doi_or_title_in_readme;near_exact_title_overlap	https://raw.githubusercontent.com/IS5882/Open-CyKG/HEAD/README.md
102	E-GraphSAGE: A Graph Neural Network based Intrusion Detection System for IoT	E-GraphSAGE	1.00	George730/E-ResGAT	https://github.com/George730/E-ResGAT	The pytorch implementation of E-GraphSAGE and E-ResGAT, two solutions for intrusion detection.	high_title_overlap_with_code_language;near_exact_title_overlap	
102	E-GraphSAGE: A Graph Neural Network based Intrusion Detection System for IoT	E-GraphSAGE	1.00	waimorris/E-GraphSAGE	https://github.com/waimorris/E-GraphSAGE	A PyTorch implementation of of E-GraphSAGE.	high_title_overlap_with_code_language;near_exact_title_overlap	
124	CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment	CICIoT2023	1.00	Jaquelinedops/CICIoT2023	https://github.com/Jaquelinedops/CICIoT2023	Machine Learning studying on CICIoT2023	doi_or_title_in_readme;near_exact_title_overlap	https://raw.githubusercontent.com/Jaquelinedops/CICIoT2023/HEAD/README.md
124	CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment	CICIoT2023	1.00	plumpmonkey/CICIoT2023	https://github.com/plumpmonkey/CICIoT2023		doi_or_title_in_readme;near_exact_title_overlap	https://raw.githubusercontent.com/plumpmonkey/CICIoT2023/HEAD/README.md
136	FastTraffic: A lightweight method for encrypted traffic fast classification	FastTraffic	1.00	JieCaoSec/FastTraffic	https://github.com/JieCaoSec/FastTraffic	The repository of FastTraffic, A lightweight method for encrypted traffic fast classification.	near_exact_title_overlap	
152	TFE-GNN: A Temporal Fusion Encoder Using Graph Neural Networks for Fine-grained Encrypted Traffic Classification	TFE-GNN	1.00	ViktorAxelsen/TFE-GNN	https://github.com/ViktorAxelsen/TFE-GNN	[WWW'23] TFE-GNN: A Temporal Fusion Encoder Using Graph Neural Networks for Fine-grained Encrypted Traffic Classification	near_exact_title_overlap	
176	ARISE: Graph Anomaly Detection on Attributed Networks via Substructure Awareness	ARISE	1.00	FelixDJC/ARISE	https://github.com/FelixDJC/ARISE	An official source code for paper "ARISE: Graph Anomaly Detection on Attributed Networks via Substructure Awareness", accepted by IEEE TNNLS.	high_title_overlap_with_code_language;near_exact_title_overlap;strong_code_phrase_partial_title	
211	ECNet: Robust Malicious Network Traffic Detection With Multi-View Feature and Confidence Mechanism	ECNet	1.00	Shining20183/ECNet	https://github.com/Shining20183/ECNet		doi_or_title_in_readme;high_title_overlap_with_code_language;near_exact_title_overlap	https://raw.githubusercontent.com/Shining20183/ECNet/HEAD/README.md
319	UAC-AD: Unsupervised Adversarial Contrastive Learning for Anomaly Detection on Multi-Modal Data in Microservice Systems	UAC-AD	0.50	lhysgithub/UAC-AD	https://github.com/lhysgithub/UAC-AD	Source code for the paper "UAC-AD: Unsupervised Adversarial Contrastive Learning for Anomaly Detection on Multi-source Data"	strong_code_phrase_partial_title	
430	FeCoGraph: Label-Aware Federated Graph Contrastive Learning for Few-Shot Network Intrusion Detection	FeCoGraph	1.00	MaoPopovich/FeCoGraph	https://github.com/MaoPopovich/FeCoGraph	The Official Implementation of "FeCoGraph: Label-Aware Federated Graph Contrastive Learning for Few-Shot Network Intrusion Detection" (TIFS 2025)	high_title_overlap_with_code_language;near_exact_title_overlap	
444	FIR-GNN: A Graph Neural Network Using Flow Interaction Relationships for Intrusion Detection of Consumer Electronics in Smart Home Network	FIR-GNN	1.00	Hafizh28/FIR-GNN	https://github.com/Hafizh28/FIR-GNN		doi_or_title_in_readme;near_exact_title_overlap	https://raw.githubusercontent.com/Hafizh28/FIR-GNN/HEAD/README.md
444	FIR-GNN: A Graph Neural Network Using Flow Interaction Relationships for Intrusion Detection of Consumer Electronics in Smart Home Network	FIR-GNN	1.00	MengyiFu/FIR-GNN	https://github.com/MengyiFu/FIR-GNN		doi_or_title_in_readme;near_exact_title_overlap	https://raw.githubusercontent.com/MengyiFu/FIR-GNN/HEAD/README.md
456	GT-HAD: Gated Transformer for Hyperspectral Anomaly Detection	GT-HAD	1.00	NanWangAC/GT-HAD	https://github.com/NanWangAC/GT-HAD	Gated Transformer for Hyperspectral Anomaly Detection	near_exact_title_overlap	
456	GT-HAD: Gated Transformer for Hyperspectral Anomaly Detection	GT-HAD	1.00	jeline0110/GT-HAD	https://github.com/jeline0110/GT-HAD	Gated Transformer for Hyperspectral Anomaly Detection	near_exact_title_overlap	
461	Hawkeye: Diagnosing RDMA Network Performance Anomalies with PFC Provenance	Hawkeye	1.00	wangshicheng1225/Hawkeye	https://github.com/wangshicheng1225/Hawkeye		doi_or_title_in_readme;near_exact_title_overlap	https://raw.githubusercontent.com/wangshicheng1225/Hawkeye/HEAD/README.md
487	MIETT: Multi-Instance Encrypted Traffic Transformer for Encrypted Traffic Classification	MIETT	1.00	Secilia-Cxy/MIETT	https://github.com/Secilia-Cxy/MIETT		manual_known_repo;doi_or_title_in_readme;near_exact_title_overlap	https://raw.githubusercontent.com/Secilia-Cxy/MIETT/HEAD/README.md
503	NTLFlowLyzer: Towards generating an intrusion detection dataset and intruders behavior profiling through network and transport layers traffic analysis and pattern extraction	NTLFlowLyzer	1.00	ahlashkari/NTLFlowLyzer	https://github.com/ahlashkari/NTLFlowLyzer		doi_or_title_in_readme;near_exact_title_overlap	https://raw.githubusercontent.com/ahlashkari/NTLFlowLyzer/HEAD/README.md
526	Robustifying ML-powered Network Classifiers with PANTS	PANTS	1.00	jinminhao/PANTS	https://github.com/jinminhao/PANTS	[Usenix Security '25] Robustifying ML-powered Network Classifiers with PANTS	near_exact_title_overlap	
626	CELLSHIFT: RTT-Aware Trace Transduction for Real-World Website Fingerprinting	CELLSHIFT	1.00	robgjansen/cellshift	https://github.com/robgjansen/cellshift	A utility to transduce Tor exit cell traces into entry cell traces.	doi_or_title_in_readme;near_exact_title_overlap	https://raw.githubusercontent.com/robgjansen/cellshift/HEAD/README.md
638	DALAD: Unsupervised Detection of Global and Local Anomalies in Microservice Systems	DALAD	1.00	intse/DALAD	https://github.com/intse/DALAD	The source code and datasets of DALAD for anomaly detection in microservice systems.	doi_or_title_in_readme;high_title_overlap_with_code_language;near_exact_title_overlap;strong_code_phrase_partial_title	https://raw.githubusercontent.com/intse/DALAD/HEAD/README.md
671	EO-EPTC: End-to-End Original Traffic-Based Encrypted Proxy Traffic Classification Framework	EO-EPTC	1.00	wzujhj/EO-EPTC	https://github.com/wzujhj/EO-EPTC	EO-EPTC: End-to-End Original  Traffic-based Encrypted Proxy Traffic Classification Framework	near_exact_title_overlap	
671	EO-EPTC: End-to-End Original Traffic-Based Encrypted Proxy Traffic Classification Framework	EO-EPTC	1.00	ygchen1/eo-eptc	https://github.com/ygchen1/eo-eptc	Implementation of “EO-EPTC: End-to-End Original Traffic-Based Encrypted Proxy Traffic Classification Framework”	high_title_overlap_with_code_language;near_exact_title_overlap	
821	Time Will Tell: Criss-Cross Transformer for Encrypted Traffic Analysis	Criss-cross Traffic Transformer	1.00	Amanda-HuaDing/Criss-cross_Traffic_Transformer	https://github.com/Amanda-HuaDing/Criss-cross_Traffic_Transformer	The official implementation of Time Will Tell: Criss-cross Transformer for Encrypted Traffic Analysis.	manual_known_repo;high_title_overlap_with_code_language;near_exact_title_overlap	
