num	title	doi	pdf	kind	score	repo	url
27	End-to-end encrypted traffic classification with one-dimensional convolution neural networks	10.1109/isi.2017.8004872	paper\10.1109_isi.2017.8004872.pdf	repo	0.0	cnntraffic	https://github.com/echowei/cnntraffic
30	Co-teaching: Robust Training of Deep Neural Networks with Extremely Noisy Labels	10.48550/arXiv.1804.06872	paper\10.48550_arXiv.1804.06872.pdf	repo	0.5	Co-teaching	https://github.com/bhanML/Co-teaching
58	FlowPrint: Semi-Supervised Mobile-App Fingerprinting on Encrypted Network Traffic	10.14722/ndss.2020.24412	paper\10.14722_ndss.2020.24412.pdf	repo	1.0	FlowPrint	https://github.com/Thijsvanede/FlowPrint
60	Knowledge graph based methods for record linkage	10.1016/j.patrec.2020.05.025	paper\10.1016_j.patrec.2020.05.025.pdf	repo	0.0	OpenKE	https://github.com/thunlp/OpenKE
67	Traffic Classification of User Behaviors in Tor, I2P, ZeroNet, Freenet	10.1109/trustcom50675.2020.00064	paper\10.1109_trustcom50675.2020.00064.pdf	repo	0.0	darknet-dataset-2020	https://github.com/huyz97/darknet-dataset-2020
73	CADE: Detecting and Explaining Concept Drift Samples for Security Applications		paper\CADE - Detecting and Explaining Concept Drift Samples for Security Applications.pdf	repo	1.0	CADE	https://github.com/whyisyoung/CADE
75	CENTIME: A Direct Comprehensive Traffic Features Extraction for Encrypted Traffic Classification	10.1109/icccs52626.2021.9449280	paper\10.1109_icccs52626.2021.9449280.pdf	repo	0.667	Traffic-Classification	https://github.com/wmn7/Traffic-Classification
79	Distributed Deep Convolutional Neural Networks for the Internet-of-Things	10.1109/tc.2021.3062227	paper\10.1109_tc.2021.3062227.pdf	repo	0.0	distributedCNNs	https://github.com/simdis/distributedCNNs
81	FARE: Enabling Fine-grained Attack Categorization under Low-quality Labeled Data	10.14722/ndss.2021.24403	paper\10.14722_ndss.2021.24403.pdf	repo	1.0	FARE	https://github.com/junjieliang672/FARE
82	Flow Transformer: A Novel Anonymity Network Traffic Classifier with Attention Mechanism	10.1109/msn53354.2021.00045	paper\10.1109_msn53354.2021.00045.pdf	repo	0.0	The-SJTU-AN21-Dataset	https://github.com/iZRJ/The-SJTU-AN21-Dataset
84	Generative Adversarial Transformers	10.48550/arXiv.2103.01209	paper\10.48550_arXiv.2103.01209.pdf	repo	0.0	gansformer	https://github.com/dorarad/gansformer
93	UTMobileNetTraffic2021: A Labeled Public Network Traffic Dataset	10.1109/lnet.2021.3098455	paper\10.1109_lnet.2021.3098455.pdf	url	0.0		https://github.com/YuqiangHeng/
105	ET-BERT: A Contextualized Datagram Representation with Pre-training Transformers for Encrypted Traffic Classification	10.1145/3485447.3512217	paper\10.1145_3485447.3512217.pdf	repo	0.5	ET-BERT	https://github.com/linwhitehat/ET-BERT
106	EULER: Detecting Network Lateral Movement via Scalable Temporal Link Prediction	10.14722/ndss.2022.24107	paper\10.14722_ndss.2022.24107.pdf	repo	1.0	Euler	https://github.com/iHeartGraph/Euler
109	KRYSTAL: Knowledge graph-based framework for tactical attack discovery in audit data	10.1016/j.cose.2022.102828	paper\10.1016_j.cose.2022.102828.pdf	repo	1.0	Krystal	https://github.com/sepses/Krystal
110	Machine Learning 5G Attack Detection in Programmable Logic	10.1109/gcwkshps56602.2022.10008647	paper\10.1109_gcwkshps56602.2022.10008647.pdf	repo	0.0	free5gc	https://github.com/free5gc/free5gc
115	3D-IDS: Doubly Disentangled Dynamic Intrusion Detection	10.48550/arXiv.2307.11079	paper\10.48550_arXiv.2307.11079.pdf	repo	0.0	DIDS-MFL	https://github.com/qcydm/DIDS-MFL
118	A graph empowered insider threat detection framework based on daily activities	10.1016/j.isatra.2023.06.030	paper\10.1016_j.isatra.2023.06.030.pdf	repo	0.0	ResHybnet	https://github.com/Wayne-on-the-road/ResHybnet
120	An intelligent network monitoring approach for online classification of Darknet traffic	10.1016/j.compeleceng.2023.108852	paper\10.1016_j.compeleceng.2023.108852.pdf	repo	0.333	adaptive-monitoring	https://github.com/romoreira/adaptive-monitoring
122	CBS: A Deep Learning Approach for Encrypted Traffic Classification With Mixed Spatio-Temporal and Statistical Features	10.1109/access.2023.3343189	paper\10.1109_access.2023.3343189.pdf	repo	1.0	CBS	https://github.com/mehdiseydali/CBS
123	CESNET-QUIC22: A large one-month QUIC network traffic dataset from backbone lines	10.1016/j.dib.2023.108888	paper\10.1016_j.dib.2023.108888.pdf	url	0.0		https://zenodo.org/record/7409923
123	CESNET-QUIC22: A large one-month QUIC network traffic dataset from backbone lines	10.1016/j.dib.2023.108888	paper\10.1016_j.dib.2023.108888.pdf	repo	1.0	ip	https://github.com/CESNET/ip
125	Cybersecurity knowledge graphs	10.1007/s10115-023-01860-3	paper\10.1007_s10115-023-01860-3.pdf	repo	0.0	flockdb	https://github.com/twitter-archive/flockdb
125	Cybersecurity knowledge graphs	10.1007/s10115-023-01860-3	paper\10.1007_s10115-023-01860-3.pdf	repo	0.0	typedb	https://github.com/vaticle/typedb
129	Detecting Unknown Encrypted Malicious Traffic in Real Time via Flow Interaction Graph Analysis	10.14722/ndss.2023.23080	paper\10.14722_ndss.2023.23080.pdf	repo	0.0	HyperVision	https://github.com/fuchuanpu/HyperVision
135	Encrypted TLS Traffic Classification on Cloud Platforms	10.1109/tnet.2022.3191312	paper\10.1109_tnet.2022.3191312.pdf	url	0.0		https://github.com/
150	Rosetta: Enabling Robust TLS Encrypted Traffic Classification in Diverse Network Environments with TCP-Aware Traffic Augmentation	10.1145/3603165.3607437	paper\10.1145_3603165.3607437.pdf	repo	1.0	Rosetta	https://github.com/sunskyXX/Rosetta
154	Yet Another Traffic Classifier: A Masked Autoencoder Based Traffic Transformer with Multi-Level Flow Representation	10.1609/aaai.v37i4.25674	paper\10.1609_aaai.v37i4.25674.pdf	repo	0.0	YaTC	https://github.com/NSSL-SJTU/YaTC
