num	title	score	repo	url
27	End-to-end encrypted traffic classification with one-dimensional convolution neural networks	0.0	cnntraffic	https://github.com/echowei/cnntraffic
79	Distributed Deep Convolutional Neural Networks for the Internet-of-Things	0.0	distributedCNNs	https://github.com/simdis/distributedCNNs
81	FARE: Enabling Fine-grained Attack Categorization under Low-quality Labeled Data	1.0	FARE	https://github.com/junjieliang672/FARE
84	Generative Adversarial Transformers	0.0	gansformer	https://github.com/dorarad/gansformer
120	An intelligent network monitoring approach for online classification of Darknet traffic	0.333	adaptive-monitoring	https://github.com/romoreira/adaptive-monitoring
129	Detecting Unknown Encrypted Malicious Traffic in Real Time via Flow Interaction Graph Analysis	0.0	HyperVision	https://github.com/fuchuanpu/HyperVision
154	Yet Another Traffic Classifier: A Masked Autoencoder Based Traffic Transformer with Multi-Level Flow Representation	0.0	YaTC	https://github.com/NSSL-SJTU/YaTC
156	A Discrepancy Aware Framework for Robust Anomaly Detection	0.0	DAF	https://github.com/caiyuxuan1120/DAF
196	Contrasting Estimation of Pattern Prototypes for Anomaly Detection in Urban Crowd Flow	0.0	ProtoDetect	https://github.com/yupwang/ProtoDetect
200	Counterfactual Data Augmentation With Denoising Diffusion for Graph Anomaly Detection	0.0	CAGAD	https://github.com/ChunjingXiao/CAGAD
206	Detecting Cloud Anomaly via Broad Network-Based Contrastive Autoencoder	0.0	BroadCAE	https://github.com/zhongguoxiang/BroadCAE
213	Encoder-Decoder Contrast for Unsupervised Anomaly Detection in Medical Images	0.0	EDC	https://github.com/guojiajeremy/EDC
236	Graph Autoencoder Anomaly Detection for E-Commerce Application by Contextual Integrating Contrast With Reconstruction and Complementarity	0.0	GAAD	https://github.com/jinjiewu2000/GAAD
252	LLM-TIKG: Threat intelligence knowledge graph construction utilizing large language model	0.25	LLM-TIKGdataset	https://github.com/Netsec-SJTU/LLM-TIKGdataset
265	Multi-Task Scenario Encrypted Traffic Classification and Parameter Analysis	0.0	PETReLM	https://github.com/ssy198/PETReLM
273	One Model to Find Them All Deep Learning for Multivariate Time-Series Anomaly Detection in Mobile Network Data	0.0	DC-VAE	https://github.com/GastonGarciaGonzalez/DC-VAE
274	One Train for Two Tasks: An Encrypted Traffic Classification Framework Using Supervised Contrastive Learning	0.0	CLE-TFE	https://github.com/ViktorAxelsen/CLE-TFE
302	Sharing cyber threat intelligence: Does it really help?	0.0	CTI	https://github.com/SKKU-SecLab/CTI
314	Toward Video Anomaly Retrieval From Video Anomaly Detection: New Benchmarks and Model	0.0	VAR	https://github.com/Roc-Ng/VAR
332	A Cloud Collaborative-Based Intrusion Detection and Prevention System for IVN	0.0	IVAD	https://github.com/yuecao871441562/IVAD
333	A Comprehensive Benchmark and Empirical Study of Trace Anomaly Detection	0.0	TADBench	https://github.com/nkalgo/TADBench
334	A Data-Driven Approach to Mitigate Evolving Volumetric Attacks in Programmable Networks	0.0	AdapNet-IDS	https://github.com/em-saqib/AdapNet-IDS
363	An Unsupervised Malicious Web Request Detection Based on Transformer and Contrastive Learning	0.0	School-2023-sample	https://github.com/AIOps-tech/School-2023-sample
387	Contrastive Multi-Knowledge Graph Learning for Fake News Detection	0.0	Congrat	https://github.com/KG4FD/Congrat
391	D 3 Former: Dual-Decoder Dual-Transformer Reconstruction Network for Hyperspectral Anomaly Detection	0.0	TGRS-D3Former	https://github.com/YKYANG01/TGRS-D3Former
396	DeepDRAC: Disposition Recommendation for Alert Clusters Based on Security Event Patterns	0.0	DEEPDRACAppendix	https://github.com/Gaofei-Ruan/DEEPDRACAppendix
398	Detecting Smart Home Device Activities Using Packet-Level Signatures From Encrypted Traffic	0.167	Packet-based-IoT-Event-Detection	https://github.com/MdShamim097/Packet-based-IoT-Event-Detection
400	Detection of Unknown Attacks Through Encrypted Traffic: A Gaussian Prototype-Aided Variational Autoencoder Framework	0.0	Open-Detect	https://github.com/niebikong/Open-Detect
407	Dual Temporal Masked Modeling for KPI Anomaly Detection via Similarity Aggregation	0.0	GT-DMASA	https://github.com/colaudiolab/GT-DMASA
416	End-to-End Attack Scene Reconstruction in a Host With Rules and Anomaly-Based Detection Models	0.0	eaGle	https://github.com/winsen-alpha/eaGle
427	FC2P: Feature Cross-Channel Projection for Unsupervised Anomaly Segmentation	0.0	work-2	https://github.com/Karma1628/work-2
441	Few-Shot Anomaly Detection via Category-Agnostic Registration Learning	0.0	CAReg	https://github.com/Haoyan-Guan/CAReg
445	Flow Microelement-Driven Traffic Relationship Analysis: Robust Detection of Malicious Encrypted Traffic	0.0	BSTS-Net	https://github.com/gswsfh/BSTS-Net
447	Frequency-Domain Spectrum Discrepancy-Based Fast Anomaly Detection for IIoT Sensor Time-Series Signals	0.0	FADSD	https://github.com/infogroup502/FADSD
465	IAD-GPT: Advancing Visual Knowledge in Multimodal Large Language Model for Industrial Anomaly Detection	0.0	IADGPT	https://github.com/LiZeWen1225/IADGPT
477	Lightweight and Fast Time-Series Anomaly Detection via Point-Level and Sequence-Level Reconstruction Discrepancy	0.0	LFTSAD	https://github.com/infogroup502/LFTSAD
480	LScAD: A Large–Small Model Collaboration Framework for Unsupervised Industrial Anomaly Detection	1.0	LScAD	https://github.com/qsc1103/LScAD
