name	path	is_git	remote	head
AAND	source\AAND	True	https://github.com/Hui-design/AAND	376c4e4
AdapNet-IDS	source\AdapNet-IDS	True	https://github.com/em-saqib/AdapNet-IDS	93c05ed
adaptive-monitoring	source\adaptive-monitoring	True	https://github.com/romoreira/adaptive-monitoring	539451e
Adaptive-WF-Attack	source\Adaptive-WF-Attack	True	https://github.com/Xinhao-Deng/Adaptive-WF-Attack	4cdab41
AEGIS-Net	source\AEGIS-Net	True	https://github.com/niebikong/AEGIS-Net	13dce9d
AGFNN	source\AGFNN	True	https://github.com/TFboys-lzz/AGFNN	dd2509a
Argus	source\Argus	True	https://github.com/Argusaaa/Argus	09c1b4d
ARISE	source\ARISE	True	git@github.com:1144160159/research.git	502db87
AUCp	source\AUCp	True	https://github.com/mahfuzmohammad/AUCp	6f1a374
AutoML4ETC	source\AutoML4ETC	True	https://github.com/OrangeUW/AutoML4ETC.git	f926473
BERT-ps	source\BERT-ps	True	https://github.com/Shangshu-LAB/BERT-ps	d2cc022
BSTS-Net	source\BSTS-Net	True	https://github.com/gswsfh/BSTS-Net	8eb4eb3
c0sHALog	source\c0sHALog	True	git@github.com:1144160159/research.git	502db87
CADE	source\CADE	True	https://github.com/whyisyoung/CADE	000d4c8
CAGAD	source\CAGAD	True	https://github.com/ChunjingXiao/CAGAD	499300c
CAReg	source\CAReg	True	https://github.com/Haoyan-Guan/CAReg	7dc141c
CBS	source\CBS	True	https://github.com/mehdiseydali/CBS	f7cbf27
cellshift	source\cellshift	True	https://github.com/robgjansen/cellshift.git	8bb3d1e
CICIoT2023	source\CICIoT2023	True	https://github.com/Jaquelinedops/CICIoT2023.git	550ddae
CLE-TFE	source\CLE-TFE	True	https://github.com/ViktorAxelsen/CLE-TFE	6edfbaf
CLOSR	source\CLOSR	True	https://github.com/jackwilkie/CLOSR	79da4d1
Co-teaching	source\Co-teaching	True	https://github.com/bhanML/Co-teaching	7c7fbe2
Congrat	source\Congrat	True	https://github.com/KG4FD/Congrat	b78d2fc
ConMD	source\ConMD	True	https://github.com/ikun0124/ConMD	03927a0
Criss-cross_Traffic_Transformer	source\Criss-cross_Traffic_Transformer	True	https://github.com/Amanda-HuaDing/Criss-cross_Traffic_Transformer.git	79fe033
CST-GL	source\CST-GL	True	https://github.com/huankoh/CST-GL.git	d2f71ff
D2Rec	source\D2Rec	True	https://github.com/gaobb/D2Rec	e966180
DA-FDIDS	source\DA-FDIDS	True	git@github.com:1144160159/research.git	502db87
DACAD	source\DACAD	True	https://github.com/zamanzadeh/DACAD	8ab87f5
DAF	source\DAF	True	https://github.com/caiyuxuan1120/DAF	7add580
DairFM	source\DairFM	True	https://github.com/dairfedmoe/DairFM	05b9507
DALAD	source\DALAD	True	https://github.com/intse/DALAD.git	95923b6
DawnGuard	source\DawnGuard	True	https://github.com/jiajizhe1997/DawnGuard	321edc9
DC-VAE	source\DC-VAE	True	https://github.com/GastonGarciaGonzalez/DC-VAE	f4f46e0
Debunk_Traffic_Representation	source\Debunk_Traffic_Representation	True	https://github.com/SmartData-Polito/Debunk_Traffic_Representation	1a48f44
DGP	source\DGP	True	https://github.com/BUPT-GAMMA/DGP	39b1fc6
DIDS-MFL	source\DIDS-MFL	True	git@github.com:1144160159/research.git	502db87
distributedCNNs	source\distributedCNNs	True	https://github.com/simdis/distributedCNNs	5df9dd3
dns-graph	source\dns-graph	True	https://github.com/abhisek/dns-graph	99ccc32
DP_Blockchain	source\DP_Blockchain	True	https://github.com/tariqaup/DP_Blockchain	eafc404
E-GraphSAGE	source\E-GraphSAGE	True	https://github.com/waimorris/E-GraphSAGE.git	e05eb74
