num,title,category,relevance,repo,url,status,target,languages,datasets,readme,train_files,model_files,data_files
27,End-to-end encrypted traffic classification with one-dimensional convolution neural networks,加密流量分类与应用识别,强相关,cnntraffic,https://github.com/echowei/cnntraffic,failed,source\cnntraffic,,,,,,
30,Co-teaching: Robust Training of Deep Neural Networks with Extremely Noisy Labels,其他AI安全与跨域异常检测,弱相关,Co-teaching,https://github.com/bhanML/Co-teaching,downloaded,source\Co-teaching,"Python:3, Shell:1",Tor、tor,README.md、readme.md、Readme.md,,model.py,
35,MaMPF: Encrypted Traffic Classification Based on Multi-Attribute Markov Probability Fingerprints,加密流量分类与应用识别,强相关,WSPTTH/MaMPF,https://github.com/WSPTTH/MaMPF,downloaded,source\MaMPF,Python:7,CERT、cert、tOn、tor,README.txt,,Markov/models.py,preprocess.py
43,FS-Net: A Flow Sequence Network For Encrypted Traffic Classification,加密流量分类与应用识别,强相关,Akrusher/Fs-net,https://github.com/Akrusher/Fs-net,downloaded,source\Fs-net,Python:7,tor,README.md、readme.md、Readme.md,train.py,model.py；model_test.py,dataset_pcap_length.py
43,FS-Net: A Flow Sequence Network For Encrypted Traffic Classification,加密流量分类与应用识别,强相关,WSPTTH/FS-Net,https://github.com/WSPTTH/FS-Net,downloaded,source\WSPTTH_FS-Net,Python:6,tor,README.md、readme.md、Readme.md,train.py,model.py,dataset.py；preprocess.py
58,FlowPrint: Semi-Supervised Mobile-App Fingerprinting on Encrypted Network Traffic,加密流量分类与应用识别,强相关,FlowPrint,https://github.com/Thijsvanede/FlowPrint,downloaded,source\FlowPrint,"Python:17, Batch:1",Cert、TOR、cert、nsl、quic、tor,README.md、readme.md、Readme.md,,flowprint/network_destination.py,flowprint/preprocessor.py
73,CADE: Detecting and Explaining Concept Drift Samples for Security Applications,其他AI安全与跨域异常检测,弱相关,CADE,https://github.com/whyisyoung/CADE,downloaded,source\CADE,"Python:19, Shell:9",ton、tor,README.md、readme.md、Readme.md,,,
75,CENTIME: A Direct Comprehensive Traffic Features Extraction for Encrypted Traffic Classification,加密流量分类与应用识别,强相关,Traffic-Classification,https://github.com/wmn7/Traffic-Classification,downloaded,source\Traffic-Classification,"Python:40, Jupyter:5, JSON:2, YAML:1",Tor、VPN、dapt、tor、ustc、vpn,README.md、readme.md、Readme.md,TrafficFlowClassification/entry/train.py；TrafficFlowClassification/train/trainProcess.py,,TrafficFlowClassification/entry/preprocess.py；TrafficFlowClassification/preprocess/FeaturesCalc.py
79,Distributed Deep Convolutional Neural Networks for the Internet-of-Things,联邦学习、隐私保护与分布式协同,中相关,distributedCNNs,https://github.com/simdis/distributedCNNs,downloaded,source\distributedCNNs,"Jupyter:5, Python:3",ton、tor,README.md、readme.md、Readme.md,,,
81,FARE: Enabling Fine-grained Attack Categorization under Low-quality Labeled Data,恶意流量、暗网与攻击检测,中相关,FARE,https://github.com/junjieliang672/FARE,downloaded,source\FARE,Python:4,Ton、cert、tor,README.md、readme.md、Readme.md,,,
