num,title,chars,body_chars,section_count,sections,has_method_section,has_experiment_section,has_conclusion_section,dataset_count,metric_count,extract_ok,extract_error
1,New directions in cryptography,64751,62969,6,"abstract,introduction,method,experiment,discussion,conclusion",True,True,True,0,0,,
2,A method for obtaining digital signatures and public-key cryptosystems,4151,4151,0,,False,False,False,0,0,,
3,Computer Network Architectures and Protocols,78347,78152,2,"method,experiment",True,True,False,0,1,,
4,"Automata, Languages and Programming",13357,13357,2,"method,conclusion",True,False,True,0,0,,
5,The Codebreakers: The Comprehensive History of Secret Communication from Ancient Times to the Internet,1076019,591122,5,"discussion,method,background,introduction,experiment",True,True,False,0,1,,
6,Bro: a system for detecting network intruders in real-time,0,0,0,,False,False,False,0,0,,
7,"Traffic Analysis: Protocols, Attacks, Design Issues, and Open Problems",53574,46187,6,"abstract,method,introduction,related_work,discussion,conclusion",True,False,True,2,2,,
8,HMM profiles for network traffic classification,8178,8178,4,"introduction,experiment,method,conclusion",True,True,True,0,1,,
9,A Performance Comparison of Data Encryption Algorithms,23422,20751,4,"abstract,introduction,method,experiment",True,True,False,0,0,,
10,A Survey of Network Traffic Monitoring and Analysis Tools,0,0,0,,False,False,False,0,0,,
11,On Inferring Application Protocol Behaviors in Encrypted Network Traffic,77781,70634,7,"abstract,introduction,discussion,method,experiment,related_work,conclusion",True,True,True,3,6,,
12,Bayesian Neural Networks for Internet Traffic Classification,86995,77773,5,"abstract,method,introduction,experiment,conclusion",True,True,True,3,2,,
13,A survey of techniques for internet traffic classification using machine learning,127550,112928,7,"abstract,introduction,discussion,conclusion,experiment,method,background",True,True,True,3,4,,
14,Machine learning based encrypted traffic classification: Identifying SSH and Skype,37403,32266,7,"abstract,introduction,method,related_work,experiment,discussion,conclusion",True,True,True,1,5,,
15,". Kwon, and Y. Choi,",68739,68739,7,"abstract,introduction,experiment,related_work,method,conclusion,discussion",True,True,True,4,4,,
16,Untangling Attribution: Moving to Accountability in Cyberspace,0,0,0,,False,False,False,0,0,,
17,Analysis of country-wide internet outages caused by censorship,89420,68226,7,"discussion,abstract,introduction,related_work,background,experiment,method",True,True,False,1,2,,
18,IP traffic classification based on machine learning,47975,41230,5,"introduction,method,experiment,discussion,conclusion",True,True,True,3,7,,
19,Benchmarking two techniques for Tor classification: Flow level and circuit level classification,37289,34178,7,"abstract,experiment,introduction,related_work,discussion,method,conclusion",True,True,True,3,6,,
20,Homomorphic Encryption,27142,26302,5,"abstract,experiment,introduction,method,conclusion",True,True,True,1,1,,
21,"Information Privacy Engineering and Privacy by Design: Understanding Privacy Threats, Technology, and Regulations Based on Standards and Best Practices",109243,9112,2,"introduction,method",True,False,False,0,0,,
22,A survey of methods for encrypted traffic classification and analysis,87721,73835,5,"abstract,method,introduction,experiment,conclusion",True,True,True,1,2,,
23,Traffic flow analysis of tor pluggable transports,22556,22556,0,,False,False,False,0,0,,
24,Characterization of Encrypted and VPN Traffic using Time-related Features,29827,23981,7,"abstract,introduction,discussion,related_work,method,experiment,conclusion",True,True,True,3,3,,
25,An Introduction to Deep Learning for the Physical Layer,71957,10581,3,"abstract,introduction,method",True,False,False,2,3,,
26,Characterization of Tor Traffic using Time based Features,44080,39741,8,"abstract,introduction,related_work,method,background,discussion,experiment,conclusion",True,True,True,3,5,,
27,End-to-end encrypted traffic classification with one-dimensional convolution neural networks,36343,29547,6,"abstract,method,introduction,discussion,related_work,experiment",True,True,False,2,4,,
28,Network Traffic Classifier With Convolutional and Recurrent Neural Networks for Internet of Things,47086,37929,5,"abstract,method,experiment,introduction,conclusion",True,True,True,2,7,,
29,A Survey on Tor Encrypted Traffic Monitoring,41778,32224,6,"abstract,introduction,discussion,method,experiment,conclusion",True,True,True,0,9,,
30,Co-teaching: Robust Training of Deep Neural Networks with Extremely Noisy Labels,44041,34824,5,"abstract,method,introduction,experiment,conclusion",True,True,True,0,4,,
31,Deciphering malware’s use of TLS (without decryption),71369,61447,8,"abstract,introduction,experiment,conclusion,background,discussion,method,related_work",True,True,True,1,2,,
32,Handbook of Applied Cryptography,2398462,53260,5,"experiment,introduction,method,background,discussion",True,True,False,0,1,,
33,How far can we push flow analysis to identify encrypted anonymity network traffic?,33798,29926,8,"abstract,discussion,introduction,related_work,experiment,background,method,conclusion",True,True,True,3,3,,
34,How to Achieve High Classification Accuracy with Just a Few Labels: A Semi-supervised Approach Using Sampled Packets,43963,40765,6,"method,introduction,related_work,conclusion,experiment,discussion",True,True,True,3,4,,
35,MaMPF: Encrypted Traffic Classification Based on Multi-Attribute Markov Probability Fingerprints,58151,52045,6,"method,abstract,background,experiment,discussion,conclusion",True,True,True,3,4,,
36,On blockchain and its integration with IoT. Challenges and opportunities,130491,130491,6,"abstract,introduction,conclusion,discussion,experiment,method",True,True,True,2,2,,
37,Toward Generating a New Intrusion Detection Dataset and Intrusion Traffic Characterization,40273,33102,5,"abstract,introduction,experiment,discussion,method",True,True,False,7,4,,
38,A Survey on Big Data for Network Traffic Monitoring and Analysis,90212,65882,6,"abstract,introduction,discussion,experiment,method,conclusion",True,True,True,1,1,,
39,Blockchain for Internet of Things: A Survey,114027,83209,5,"abstract,introduction,method,experiment,conclusion",True,True,True,0,3,,
40,BlockDeepNet: A Blockchain-Based Secure Deep Learning for IoT Network,52382,48501,7,"abstract,introduction,discussion,method,related_work,experiment,conclusion",True,True,True,1,3,,
41,$Deep-Full-Range$ : A Deep Learning Based Network Encrypted Traffic Classification and Intrusion Detection Framework,36270,29111,4,"abstract,method,introduction,experiment",True,True,False,3,6,,
42,Encrypted Traffic Analysis: Use Cases & Security Challenges,0,0,0,,False,False,False,0,0,,
43,FS-Net: A Flow Sequence Network For Encrypted Traffic Classification,51563,44382,8,"abstract,introduction,method,related_work,background,experiment,discussion,conclusion",True,True,True,1,6,,
44,MIRAGE: Mobile-app Traffic Capture and Ground-truth Creation,44673,40601,5,"method,introduction,discussion,related_work,experiment",True,True,False,6,0,,
45,"Mobile Encrypted Traffic Classification Using Deep Learning: Experimental Evaluation, Lessons Learned, and Challenges",74931,64469,7,"abstract,method,introduction,conclusion,background,experiment,discussion",True,True,True,5,3,,
46,Towards the Deployment of Machine Learning Solutions in Network Traffic Classification: A Systematic Survey,165923,126850,7,"abstract,introduction,method,discussion,background,experiment,conclusion",True,True,True,1,5,,
47,A Dive into the Dark Web: Hierarchical Traffic Classification of Anonymity Tools,68659,60231,6,"abstract,method,introduction,discussion,experiment,conclusion",True,True,True,2,5,,
48,An Encrypted Traffic Classification Framework Based on Convolutional Neural Networks and Stacked Autoencoders,35161,34339,7,"abstract,introduction,experiment,method,background,related_work,conclusion",True,True,True,2,6,,
49,"Anonymity Services Tor, I2P, JonDonym: Classifying in the Dark (Web)",80570,67602,6,"introduction,experiment,discussion,method,background,related_work",True,True,False,3,6,,
50,BFSN: A Novel Method of Encrypted Traffic Classification Based on Bidirectional Flow Sequence Network,33434,28067,7,"abstract,method,introduction,experiment,related_work,discussion,conclusion",True,True,True,2,3,,
51,Blockchain and Federated Learning for Privacy-Preserved Data Sharing in Industrial IoT,54407,42585,5,"abstract,introduction,method,experiment,discussion",True,True,False,0,2,,
52,Deep packet: a novel approach for encrypted traffic classification using deep learning,65158,54276,7,"abstract,method,introduction,background,discussion,experiment,conclusion",True,True,True,5,6,,
53,Detection of DoH Tunnels using Time-series Classification of Encrypted Traffic,41885,38703,7,"abstract,method,introduction,related_work,experiment,discussion,conclusion",True,True,True,3,7,,
54,DIDarknet: A Contemporary Approach to Detect and Characterize the Darknet Traffic using Deep Image Learning,67017,56361,6,"abstract,method,introduction,discussion,experiment,conclusion",True,True,True,6,8,,
55,Encrypted traffic classification based on Gaussian mixture models and Hidden Markov Models,63572,60139,7,"introduction,method,related_work,discussion,abstract,experiment,conclusion",True,True,True,3,6,,
56,Encrypted Traffic Classification Using Graph Convolutional Networks,11894,10969,4,"abstract,introduction,method,background",True,False,False,3,2,,
57,Fingerprinting encrypted voice traffic on smart speakers with deep learning,79906,59540,8,"abstract,introduction,discussion,related_work,method,background,experiment,conclusion",True,True,True,3,7,,
58,FlowPrint: Semi-Supervised Mobile-App Fingerprinting on Encrypted Network Traffic,114212,99976,8,"abstract,introduction,method,experiment,background,discussion,related_work,conclusion",True,True,True,0,3,,
59,Image-based Encrypted Traffic Classification with Convolution Neural Networks,43964,31824,5,"abstract,method,introduction,related_work,discussion",True,False,False,3,5,,
60,Knowledge graph based methods for record linkage,38323,30182,5,"introduction,related_work,method,discussion,experiment",True,True,False,1,4,,
61,Learning to Classify: A Flow-Based Relation Network for Encrypted Traffic Classification,56594,46417,7,"abstract,introduction,method,background,experiment,discussion,conclusion",True,True,True,1,2,,
62,On the classification of fog computing applications: A machine learning perspective,82221,72308,5,"introduction,method,experiment,related_work,conclusion",True,True,True,3,3,,
63,PacketCGAN: Exploratory Study of Class Imbalance for Encrypted Traffic Classification Using CGAN,33405,33405,5,"abstract,method,experiment,introduction,conclusion",True,True,True,3,7,,
64,Part-dependent Label Noise: Towards Instance-dependent Label Noise,63752,37588,8,"abstract,introduction,method,related_work,background,experiment,discussion,conclusion",True,True,True,0,1,,
65,PERT: Payload Encoding Representation from Transformer for Encrypted Traffic Classification,36594,36594,3,"abstract,introduction,method",True,False,False,0,0,,
66,Practical evaluation of encrypted traffic classification based on a combined method of entropy estimation and neural networks,47641,47641,4,"method,experiment,discussion,background",True,True,False,5,7,,
67,"Traffic Classification of User Behaviors in Tor, I2P, ZeroNet, Freenet",35226,34176,7,"method,abstract,introduction,related_work,experiment,discussion,conclusion",True,True,True,4,5,,
68,A Look Behind the Curtain: Traffic Classification in an Increasingly Encrypted Web,50663,45750,6,"abstract,method,introduction,conclusion,discussion,experiment",True,True,True,3,7,,
69,A Survey of Encrypted Malicious Traffic Detection,40662,32906,5,"abstract,method,introduction,discussion,experiment",True,True,False,1,10,,
