大类,表征学习、预训练与Transformer,图神经网络与关系建模,多模态、多视图与特征融合,自监督、对比学习与少样本学习,生成式增强、GAN与扩散模型,联邦学习、隐私保护与协同训练,在线、增量、开放集与概念漂移,可解释性、规则抽取与因果分析,轻量化、实时与高性能部署,鲁棒性、对抗防御与可信检测,数据集、基准、工具与系统化评测,应用场景与系统化验证
加密流量分类与应用识别,44,12,19,18,9,8,20,5,34,23,62,48
恶意流量、暗网与攻击检测,9,4,10,2,4,8,5,5,15,20,37,11
入侵检测与网络异常检测,34,20,24,18,15,44,23,12,63,37,127,10
网络流量监测、测量与工具,1,0,0,0,0,1,0,0,2,1,4,1
IoT、车联网、工业互联网与边缘安全,5,1,2,0,3,9,2,2,22,7,25,3
图学习、知识图谱与威胁情报,21,49,5,4,2,2,2,3,19,5,27,5
时序、日志、KPI 与云原生异常检测,18,14,13,6,7,2,1,4,11,8,25,2
多媒体、医学、遥感与视频异常检测,22,0,7,17,2,1,4,0,4,2,19,3
联邦学习、隐私保护与分布式协同,3,0,0,1,1,38,2,0,19,15,20,0
数据集、基准、综述与开源工具,5,4,2,1,0,5,2,0,6,3,33,2
基础理论、密码协议与安全机制,0,0,0,0,2,1,0,1,1,2,5,5
其他AI安全与跨域异常检测,44,5,15,62,9,4,6,4,35,13,58,13
