编号,题名,年份,DOI,PDF,大类,二级类,创新点标签,科学问题标签,相关性,相关性分数,代码状态,代码仓库,方法关键词
1,New directions in cryptography,1976,10.1109/tit.1976.1055638,paper/10.1109_tit.1976.1055638.pdf,基础理论、密码协议与安全机制,图学习、知识图谱与威胁情报,数据集、基准、工具与系统化评测,多源异构数据融合与上下文建模,弱相关,0,未发现,,New; Two; Widening
2,A method for obtaining digital signatures and public-key cryptosystems,1983,10.1145/357980.358017,paper/10.1145_357980.358017.pdf,基础理论、密码协议与安全机制,,数据集、基准、工具与系统化评测,开放世界未知攻击与误报控制,弱相关,0,未发现,,
3,Computer Network Architectures and Protocols,1989,10.1007/978-1-4613-0809-6,paper/10.1007_978-1-4613-0809-6.pdf,基础理论、密码协议与安全机制,,应用场景与系统化验证,开放世界未知攻击与误报控制,弱相关,2,未发现,,Computer; Network; Architectures; Protocols
4,"Automata, Languages and Programming",1997,10.1007/3-540-63165-8,paper/10.1007_3-540-63165-8.pdf,其他AI安全与跨域异常检测,,应用场景与系统化验证,开放世界未知攻击与误报控制,弱相关,0,未发现,,Automata; Languages; Programming
5,The Codebreakers: The Comprehensive History of Secret Communication from Ancient Times to the Internet,1997,10.2307/20048054,paper/10.2307_20048054.pdf,加密流量分类与应用识别,,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,中相关,8,未发现,,Codebreakers; Comprehensive; History; Secret; Communication; Ancient; Times; Internet
6,Bro: a system for detecting network intruders in real-time,1999,10.1016/s1389-1286(99)00112-7,paper/10.1016_s1389-1286%2899%2900112-7.pdf,其他AI安全与跨域异常检测,,轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,高速流量实时检测与资源约束,弱相关,3,未发现,,Bro
7,"Traffic Analysis: Protocols, Attacks, Design Issues, and Open Problems",2001,10.1007/3-540-44702-4_2,paper/10.1007_3-540-44702-4_2.pdf,恶意流量、暗网与攻击检测,网络流量监测、测量与工具; 基础理论、密码协议与安全机制,应用场景与系统化验证,开放世界未知攻击与误报控制,强相关,10,未发现,,Traffic; Analysis; Protocols; Attacks; Design; Issues; Open; Problems
8,HMM profiles for network traffic classification,2004,10.1145/1029208.1029211,paper/10.1145_1029208.1029211.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,开放世界未知攻击与误报控制,强相关,10,未发现,,HMM
9,A Performance Comparison of Data Encryption Algorithms,2005,10.1109/ICICT.2005.1598556,paper/10.1109_ICICT.2005.1598556.pdf,基础理论、密码协议与安全机制,,应用场景与系统化验证,开放世界未知攻击与误报控制,弱相关,1,未发现,,Performance; Comparison; Data; Encryption; Algorithms; However
10,A Survey of Network Traffic Monitoring and Analysis Tools,2006,,paper/A%20Survey%20of%20Network%20Traffic%20Monitoring%20and%20Analysis%20Tools.pdf,数据集、基准、综述与开源工具,网络流量监测、测量与工具,数据集、基准、工具与系统化评测,数据集代表性、标准化评测与可复现; 加密与隐私保护造成可观测特征缺失,中相关,8,未发现,,Survey; Network; Traffic; Monitoring; Analysis; Tools
